#  L TT            EE            BB            TE            PP            PT            PE           
   0 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
   1 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
   2 1.0161539e+03 3.0879993e-02 1.8364938e-06 2.6209552e+00 5.0135700e-08 2.9874646e-03 -1.2235867e-05
   3 9.6278651e+02 3.9689109e-02 3.6702196e-06 2.9396994e+00 6.0994966e-08 2.9864982e-03 -1.3124524e-05
   4 9.1143409e+02 3.4497275e-02 6.1143756e-06 2.7582849e+00 7.0259803e-08 2.9114903e-03 -1.1110480e-05
   5 8.7316267e+02 2.3096294e-02 9.1703328e-06 2.3502718e+00 7.8292573e-08 2.8097894e-03 -7.5726904e-06
   6 8.4711254e+02 1.2953136e-02 1.2839390e-05 1.8941529e+00 8.5302396e-08 2.7014923e-03 -3.6818310e-06
   7 8.3064190e+02 7.0013202e-03 1.7122539e-05 1.4888890e+00 9.1473699e-08 2.5961854e-03 -3.3132179e-07
   8 8.2083552e+02 4.5019266e-03 2.2020723e-05 1.1779601e+00 9.6934385e-08 2.4940010e-03 1.9100098e-06
   9 8.1634275e+02 3.6036201e-03 2.7535047e-05 9.6678365e-01 1.0179394e-07 2.3936491e-03 2.8366202e-06
  10 8.1572612e+02 3.0751187e-03 3.3666793e-05 8.4737462e-01 1.0612213e-07 2.2970944e-03 2.6243948e-06
  11 8.1760548e+02 2.5964166e-03 4.0417363e-05 8.0238912e-01 1.1001296e-07 2.2085801e-03 1.7163929e-06
  12 8.2271221e+02 2.2787434e-03 4.7788225e-05 8.1286850e-01 1.1346956e-07 2.1272020e-03 5.8292978e-07
  13 8.2914869e+02 2.1959643e-03 5.5780899e-05 8.5526112e-01 1.1659398e-07 2.0555024e-03 -4.4489376e-07
  14 8.3674960e+02 2.2876180e-03 6.4396948e-05 9.0845347e-01 1.1937589e-07 1.9862498e-03 -1.1763138e-06
  15 8.4446864e+02 2.4724313e-03 7.3637973e-05 9.6482879e-01 1.2188909e-07 1.9199313e-03 -1.4880444e-06
  16 8.5408433e+02 2.7304511e-03 8.3505582e-05 1.0259744e+00 1.2413737e-07 1.8538574e-03 -1.3172623e-06
  17 8.6544507e+02 3.1042521e-03 9.4001389e-05 1.0893837e+00 1.2614792e-07 1.7896574e-03 -8.3032854e-07
  18 8.7740686e+02 3.6374761e-03 1.0512700e-04 1.1538036e+00 1.2795528e-07 1.7298608e-03 -2.5416453e-07
  19 8.9072878e+02 4.3337342e-03 1.1688400e-04 1.2224157e+00 1.2956954e-07 1.6743010e-03 1.5895441e-07
  20 9.0380031e+02 5.1705331e-03 1.2927398e-04 1.2901802e+00 1.3099864e-07 1.6222128e-03 2.2522120e-07
  21 9.1731842e+02 6.1414187e-03 1.4229849e-04 1.3616480e+00 1.3226409e-07 1.5729709e-03 5.0168708e-08
  22 9.3131141e+02 7.2573230e-03 1.5595902e-04 1.4371511e+00 1.3338743e-07 1.5260816e-03 -2.0661939e-07
  23 9.4539327e+02 8.5104089e-03 1.7025707e-04 1.5140770e+00 1.3437742e-07 1.4813720e-03 -4.4982429e-07
  24 9.5988393e+02 9.8977585e-03 1.8519405e-04 1.5890710e+00 1.3524084e-07 1.4387586e-03 -6.2029019e-07
  25 9.7491742e+02 1.1423993e-02 2.0077133e-04 1.6542958e+00 1.3598885e-07 1.3981690e-03 -7.3761403e-07
  26 9.9000372e+02 1.3101436e-02 2.1699019e-04 1.7133440e+00 1.3663317e-07 1.3594828e-03 -8.2283132e-07
  27 1.0055513e+03 1.4941058e-02 2.3385187e-04 1.7670612e+00 1.3718275e-07 1.3223547e-03 -8.2567334e-07
  28 1.0213895e+03 1.6936830e-02 2.5135753e-04 1.8107310e+00 1.3764434e-07 1.2865109e-03 -6.9973136e-07
  29 1.0374381e+03 1.9114779e-02 2.6950823e-04 1.8493685e+00 1.3801799e-07 1.2521563e-03 -4.8367402e-07
  30 1.0538908e+03 2.1503302e-02 2.8830498e-04 1.8762982e+00 1.3830480e-07 1.2195275e-03 -2.4750048e-07
  31 1.0701422e+03 2.4099096e-02 3.0774869e-04 1.9023219e+00 1.3851593e-07 1.1885055e-03 -1.0268593e-07
  32 1.0869986e+03 2.6918538e-02 3.2784018e-04 1.9224013e+00 1.3866317e-07 1.1588910e-03 -1.3879744e-07
  33 1.1039353e+03 2.9921047e-02 3.4858024e-04 1.9350273e+00 1.3875037e-07 1.1305067e-03 -3.1822687e-07
  34 1.1209338e+03 3.3131531e-02 3.6996951e-04 1.9412498e+00 1.3877997e-07 1.1031699e-03 -5.6215655e-07
  35 1.1385687e+03 3.6556657e-02 3.9200858e-04 1.9318569e+00 1.3875584e-07 1.0766436e-03 -7.5286048e-07
  36 1.1559329e+03 4.0225127e-02 4.1469794e-04 1.9170488e+00 1.3868218e-07 1.0508078e-03 -7.9163356e-07
  37 1.1735550e+03 4.4162785e-02 4.3803802e-04 1.8910385e+00 1.3856263e-07 1.0260543e-03 -6.9318211e-07
  38 1.1915459e+03 4.8358149e-02 4.6202914e-04 1.8558771e+00 1.3840046e-07 1.0027559e-03 -5.0548583e-07
  39 1.2098070e+03 5.2800619e-02 4.8667157e-04 1.8113633e+00 1.3819786e-07 9.8070100e-04 -2.9693872e-07
  40 1.2282563e+03 5.7482439e-02 5.1196549e-04 1.7557120e+00 1.3795675e-07 9.5953441e-04 -1.4081165e-07
  41 1.2468064e+03 6.2400094e-02 5.3791102e-04 1.6877062e+00 1.3767922e-07 9.3896343e-04 -9.1551733e-08
  42 1.2654606e+03 6.7566525e-02 5.6450817e-04 1.6083340e+00 1.3736760e-07 9.1893527e-04 -1.2926139e-07
  43 1.2842317e+03 7.2998621e-02 5.9175692e-04 1.5187355e+00 1.3702426e-07 8.9945776e-04 -2.1560533e-07
  44 1.3031697e+03 7.8711113e-02 6.1965716e-04 1.4184474e+00 1.3665162e-07 8.8053944e-04 -3.1238632e-07
  45 1.3223394e+03 8.4715911e-02 6.4820873e-04 1.3067016e+00 1.3625219e-07 8.6218943e-04 -3.8152978e-07
  46 1.3417076e+03 9.1020254e-02 6.7741140e-04 1.1831462e+00 1.3582819e-07 8.4441072e-04 -3.9615367e-07
  47 1.3612567e+03 9.7624438e-02 7.0726493e-04 1.0472362e+00 1.3538143e-07 8.2718332e-04 -3.7374785e-07
  48 1.3809602e+03 1.0452015e-01 7.3776898e-04 8.9836009e-01 1.3491352e-07 8.1048117e-04 -3.4281577e-07
  49 1.4008064e+03 1.1169835e-01 7.6892323e-04 7.3598054e-01 1.3442600e-07 7.9427877e-04 -3.3178396e-07
  50 1.4208505e+03 1.1916111e-01 8.0072727e-04 5.5969920e-01 1.3392056e-07 7.7855095e-04 -3.6900965e-07
  51 1.4411512e+03 1.2691193e-01 8.3318072e-04 3.6942830e-01 1.3339875e-07 7.6328023e-04 -4.7230571e-07
  52 1.4616558e+03 1.3495543e-01 8.6628311e-04 1.6612038e-01 1.3286158e-07 7.4847771e-04 -6.1754666e-07
  53 1.4822928e+03 1.4329319e-01 9.0003402e-04 -4.9221825e-02 1.3231014e-07 7.3416267e-04 -7.7019646e-07
  54 1.5030427e+03 1.5192754e-01 9.3443294e-04 -2.7645414e-01 1.3174537e-07 7.2035386e-04 -8.9579405e-07
  55 1.5239010e+03 1.6086228e-01 9.6947944e-04 -5.1580172e-01 1.3116827e-07 7.0707037e-04 -9.5994705e-07
  56 1.5449790e+03 1.7009444e-01 1.0051730e-03 -7.6813303e-01 1.3057985e-07 6.9431919e-04 -9.3880420e-07
